traj_id,cell_id,cell_names
412,3151,C0:25
255,3474,C11:18
408,3565,C14:19
243,3432,C10:6
25,3977,C28:11
108,3208,C2:22
40,3595,C15:19
307,3792,C22:6
280,3253,C4:7
401,3560,C14:14
128,3759,C21:3
344,3835,C23:19
214,3364,C7:28
446,3223,C3:7
15,3153,C0:27
265,3520,C13:4
180,3989,C28:23
234,3775,C21:19
261,3887,C25:11
382,3241,C3:25
321,3902,C25:26
389,3740,C20:14
492,3709,C19:13
332,3813,C22:27
212,3490,C12:4
42,3499,C12:13
135,3645,C17:9
19,3430,C10:4
431,3406,C9:10
292,3571,C14:25
310,3650,C17:14
291,3662,C17:26
396,3955,C27:19
399,3655,C17:19
27,3151,C0:25
180,3959,C27:23
201,3151,C0:25
270,3650,C17:14
457,3765,C21:9
357,3150,C0:24
438,3592,C15:16
368,3632,C16:26
350,3231,C3:15
447,3826,C23:10
494,3775,C21:19
73,3208,C2:22
31,3618,C16:12
45,3662,C17:26
439,3897,C25:21
42,3469,C11:13
188,3759,C21:3
379,3429,C10:3
251,3376,C8:10
277,3545,C13:29
399,3685,C18:19
333,3912,C26:6
34,3354,C7:18
184,3869,C24:23
39,3813,C22:27
1,3749,C20:23
429,3403,C9:7
44,3459,C11:3
321,3872,C24:26
419,3509,C12:23
77,3329,C6:23
264,3564,C14:18
21,3239,C3:23
31,3588,C15:12
451,3545,C13:29
443,3833,C23:17
10,3512,C12:26
71,3512,C12:26
367,3512,C12:26
80,3641,C17:5
298,3641,C17:5
442,3740,C20:14
114,3740,C20:14
240,4025,C29:29
359,3812,C22:26
485,3961,C27:25
327,3939,C27:3
375,3460,C11:4
144,3222,C3:6
241,3424,C9:28
175,3666,C18:0
55,3571,C14:25
271,3511,C12:25
370,3795,C22:9
386,3202,C2:16
331,3645,C17:9
206,3939,C27:3
216,3545,C13:29
422,3989,C28:23
50,3496,C12:10
211,3198,C2:12
432,3176,C1:20
470,3745,C20:19
174,3171,C1:15
3,3863,C24:17
150,3782,C21:26
437,4007,C29:11
154,3460,C11:4
7,3250,C4:4
133,3765,C21:9
407,3474,C11:18
339,3271,C4:25
60,3521,C13:5
422,3959,C27:23
44,3429,C10:3
410,3826,C23:10
16,3705,C19:9
246,3869,C24:23
67,3751,C20:25
481,3709,C19:13
338,3201,C2:15
407,3444,C10:18
250,3611,C16:5
255,3444,C10:18
195,3472,C11:16
477,3820,C23:4
402,3470,C11:14
267,3581,C15:5
156,3425,C9:29
117,3147,C0:21
370,3825,C23:9
281,3682,C18:16
480,3554,C14:8
473,3939,C27:3
61,3520,C13:4
75,3193,C2:7
326,3470,C11:14
318,3835,C23:19
290,3346,C7:10
22,3204,C2:18
351,3520,C13:4
324,3509,C12:23
165,3177,C1:21
248,3789,C22:3
126,3402,C9:6
217,3719,C19:23
441,3490,C12:4
85,3496,C12:10
121,3460,C11:4
191,3759,C21:3
304,3252,C4:6
307,3762,C21:6
159,3963,C27:27
112,3641,C17:5
403,3853,C24:7
126,3432,C10:6
384,3779,C21:23
56,3420,C9:24
25,4007,C29:11
460,3795,C22:9
423,3710,C19:14
353,3481,C11:25
220,3702,C19:6
129,3378,C8:12
431,3376,C8:10
272,3759,C21:3
22,3174,C1:18
320,3719,C19:23
302,3379,C8:13
185,3228,C3:12
500,3224,C3:8
147,3775,C21:19
96,3608,C16:2
360,3917,C26:11
189,3430,C10:4
43,3765,C21:9
288,3719,C19:23
37,3622,C16:16
350,3201,C2:15
182,3917,C26:11
359,3782,C21:26
130,3977,C28:11
177,3225,C3:9
266,3488,C12:2
314,3615,C16:9
160,3611,C16:5
200,3402,C9:6
482,3241,C3:25
295,3520,C13:4
193,3615,C16:9
383,3625,C16:19
254,3481,C11:25
462,3828,C23:12
403,3883,C25:7
135,3675,C18:9
177,3255,C4:9
460,3825,C23:9
474,3177,C1:21
9,3835,C23:19
409,3659,C17:23
269,3502,C12:16
215,3824,C23:8
181,3778,C21:22
82,3219,C3:3
345,3570,C14:24
200,3432,C10:6
495,3129,C0:3
137,3376,C8:10
436,3378,C8:12
192,3420,C9:24
153,3749,C20:23
496,3689,C18:23
496,3659,C17:23
381,3645,C17:9
208,3565,C14:19
107,3853,C24:7
285,3608,C16:2
65,3430,C10:4
398,3509,C12:23
212,3520,C13:4
261,3917,C26:11
214,3334,C6:28
99,3963,C27:27
96,3638,C17:2
414,3474,C11:18
67,3721,C19:25
166,3772,C21:16
266,3458,C11:2
156,3395,C8:29
2,3271,C4:25
205,3961,C27:25
29,3197,C2:11
6,3241,C3:25
293,3250,C4:4
498,3147,C0:21
245,3499,C12:13
434,3526,C13:10
249,3346,C7:10
392,3655,C17:19
176,3749,C20:23
95,3589,C15:13
100,3795,C22:9
414,3444,C10:18
456,3666,C18:0
63,3327,C6:21
141,3183,C1:27
315,3470,C11:14
278,3863,C24:17
88,3202,C2:16
337,3554,C14:8
358,3655,C17:19
215,3854,C24:8
331,3675,C18:9
458,3391,C8:25
240,3995,C28:29
102,3923,C26:17
245,3469,C11:13
392,3685,C18:19
284,3936,C27:0
420,3197,C2:11
247,3560,C14:14
8,3430,C10:4
107,3883,C25:7
232,3820,C23:4
32,3910,C26:4
210,3378,C8:12
298,3611,C16:5
80,3611,C16:5
285,3638,C17:2
497,3827,C23:11
233,3939,C27:3
94,3989,C28:23
413,3947,C27:11
72,3757,C21:1
66,3720,C19:24
375,3490,C12:4
428,3196,C2:10
284,3966,C28:0
374,3827,C23:11
1,3719,C19:23
343,3655,C17:19
377,3592,C15:16
289,3592,C15:16
19,3460,C11:4
297,3781,C21:25
24,3177,C1:21
32,3940,C27:4
354,3474,C11:18
448,3759,C21:3
192,3450,C10:24
72,3787,C22:1
94,3959,C27:23
478,3225,C3:9
148,3346,C7:10
100,3825,C23:9
125,3488,C12:2
154,3490,C12:4
106,3199,C2:13
356,3959,C27:23
273,3710,C19:14
238,3208,C2:22
78,3923,C26:17
60,3551,C14:5
433,3590,C15:14
11,3425,C9:29
478,3255,C4:9
388,3447,C10:21
16,3735,C20:9
405,3629,C16:23
480,3584,C15:8
186,3498,C12:12
479,3873,C24:27
21,3238,C3:22
38,3620,C16:14
131,3936,C27:0
410,3856,C24:10
57,3689,C18:23
250,3581,C15:5
263,3204,C2:18
292,3541,C13:25
380,3792,C22:6
342,3524,C13:8
123,3869,C24:23
401,3530,C13:14
368,3602,C15:26
389,3710,C19:14
443,3803,C22:17
